,testid,plen,type,reccnt,top1acc,top1acc_farmost,ot_recall,ot_precision,tau,rmse
1,deepAR,5,10,2,0.100,0.000,0.071,0.014,28.000,138.000
2,deepAR,5,01,54,0.333,0.167,0.073,0.126,2344.000,1347.000
3,deepAR,5,11,46,0.378,0.283,0.098,0.064,912.000,1385.000
4,deepAR,5,aa,115,0.362,0.200,0.082,0.085,3318.000,3186.000
0,deepAR,10,00,2,0.900,0.500,0.556,0.056,9.000,90.000
1,deepAR,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,deepAR,10,01,51,0.314,0.059,0.036,0.068,3843.000,2031.000
3,deepAR,10,11,57,0.237,0.123,0.056,0.061,2502.000,2296.000
4,deepAR,10,aa,110,0.285,0.100,0.045,0.064,6354.000,4417.000
0,naive,2,00,27,0.833,0.815,0.500,0.090,44.000,244.000
1,naive,2,10,11,0.636,0.636,0.467,0.081,45.000,259.000
2,naive,2,01,49,0.592,0.510,0.150,0.285,1028.000,541.000
3,naive,2,11,31,0.565,0.452,0.246,0.108,228.000,519.000
4,naive,2,aa,118,0.644,0.576,0.188,0.162,1345.000,1563.000
0,naive,5,00,13,0.815,0.769,0.500,0.057,34.000,300.000
1,naive,5,10,2,0.200,0.000,0.107,0.027,28.000,111.000
2,naive,5,01,54,0.474,0.296,0.060,0.159,2344.000,887.000
3,naive,5,11,46,0.439,0.304,0.125,0.094,912.000,1215.000
4,naive,5,aa,115,0.494,0.348,0.083,0.109,3318.000,2513.000
0,naive,10,00,2,0.850,0.500,0.667,0.125,9.000,48.000
1,naive,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,naive,10,01,51,0.445,0.255,0.032,0.097,3843.000,1264.000
3,naive,10,11,57,0.307,0.140,0.063,0.080,2502.000,1982.000
4,naive,10,aa,110,0.381,0.200,0.045,0.087,6354.000,3294.000
0,zero,2,00,27,0.926,0.926,0.000,0.000,44.000,0.000
1,zero,2,10,11,0.955,0.909,0.000,0.000,45.000,0.000
2,zero,2,01,49,0.582,0.469,0.000,0.000,1028.000,0.000
3,zero,2,11,31,0.774,0.710,0.000,0.000,228.000,0.000
4,zero,2,aa,118,0.746,0.678,0.000,0.000,1345.000,0.000
0,zero,5,00,13,1.000,1.000,0.000,0.000,34.000,0.000
1,zero,5,10,2,1.000,1.000,0.000,0.000,28.000,0.000
2,zero,5,01,54,0.496,0.315,0.000,0.000,2344.000,0.000
3,zero,5,11,46,0.661,0.587,0.000,0.000,912.000,0.000
4,zero,5,aa,115,0.628,0.513,0.000,0.000,3318.000,0.000
0,zero,10,00,2,1.000,1.000,0.000,0.000,9.000,0.000
1,zero,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,zero,10,01,51,0.494,0.196,0.000,0.000,3843.000,0.000
3,zero,10,11,57,0.542,0.421,0.000,0.000,2502.000,0.000
4,zero,10,aa,110,0.528,0.327,0.000,0.000,6354.000,0.000
