pred: acc=0.5067567567567568, mae=5.22972972972973,5.22972972972973, rmse=51.4054054054054,r2=-1.0727688424912607, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5337837837837838, mae=5.074324324324325,5.074324324324325, rmse=51.38513513513514,r2=-0.9009032136029238, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5, mae=5.162162162162162,5.162162162162162, rmse=53.567567567567565,r2=-0.9419698346416685, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5608108108108109, mae=5.243243243243243,5.243243243243243, rmse=53.472972972972975,r2=-0.8073539600561062, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5067567567567568, mae=5.148648648648648,5.148648648648648, rmse=52.432432432432435,r2=-0.9344482641877447, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5405405405405406, mae=5.094594594594595,5.094594594594595, rmse=50.82432432432432,r2=-0.9373002020384833, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.527027027027027, mae=5.1824324324324325,5.1824324324324325, rmse=52.277027027027025,r2=-0.9930864506965762, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5067567567567568, mae=5.013513513513513,5.013513513513513, rmse=49.82432432432432,r2=-0.8692047223730386, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
pred: acc=0.5405405405405406, mae=5.1891891891891895,5.1891891891891895, rmse=52.432432432432435,r2=-0.9680480085269285, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
[ 0.52897518  5.12040533 51.20546354 -0.91274173]
/N/u/pengb/hpda/indycar/predictor/src/indycar/model/stint_simulator.py:196: SettingWithCopyWarning:
A value is trying to be set on a copy of a slice from a DataFrame

See the caveats in the documentation: http://pandas.pydata.org/pandas-docs/stable/user_guide/indexing.html#returning-a-view-versus-a-copy
  uni_ds['rank_diff'][mask] = 0
/N/u/pengb/hpda/indycar/predictor/src/indycar/model/stint_simulator.py:200: SettingWithCopyWarning:
A value is trying to be set on a copy of a slice from a DataFrame

See the caveats in the documentation: http://pandas.pydata.org/pandas-docs/stable/user_guide/indexing.html#returning-a-view-versus-a-copy
  uni_ds['time_diff'][mask] = 0
init: load dataset with 7 races, 58 cars
predicting model=oracle, plen=2
INFO:root:Using GPU
loading model...done!, ctx:gpu(0)
pred: acc=0.5510204081632653, mae=5.136054421768708,5.136054421768708, rmse=52.034013605442176,r2=-0.9892769694567896, acc_naive=0.1360544217687075, mae_naive=4.625850340136054
pred: acc=0.5337837837837838, mae=5.108108108108108,5.108108108108108, rmse=52.027027027027025,r2=-0.9272039139353621, acc_naive=0.13513513513513514, mae_naive=4.614864864864865
