MyIdx,car_number,completed_laps,rank,elapsed_time,rank_diff,time_diff
9135,3,89,5,4968.2532,0.0,41.050200000000586
9208,3,90,5,5008.8695,0.0,40.61629999999968
9281,3,91,5,5050.1662,0.0,41.29669999999987
9358,3,92,5,5091.2609,0.0,41.09470000000056
9400,3,93,3,5131.7136,-2.0,40.45269999999982
9506,3,94,3,5172.9586,0.0,41.24499999999989
9550,3,95,2,5213.4987,-1.0,40.540100000000166
9627,3,96,1,5254.3829,-1.0,40.88419999999951
9705,3,97,1,5295.3774,0.0,40.9945000000007
9779,3,98,1,5336.4527,0.0,41.075299999999515
9854,3,99,1,5377.6471,0.0,41.194400000000314
9931,3,100,1,5418.7485,0.0,41.10139999999956
10008,3,101,1,5459.6962,0.0,40.94770000000062
10086,3,102,1,5500.5823,0.0,40.886099999999715
10162,3,103,1,5541.5092,0.0,40.92690000000039
10318,3,104,26,5605.3024,25.0,63.79319999999916
10418,3,105,26,5660.6519,0.0,55.34950000000026
10498,3,106,24,5701.6231,-2.0,40.97119999999995
10580,3,107,24,5742.5814,0.0,40.958300000000236
10661,3,108,24,5783.5025,0.0,40.92109999999957
10737,3,109,23,5824.3978,-1.0,40.895300000000134
10816,3,110,23,5865.3071,0.0,40.90930000000026
10891,3,111,22,5906.2182,-1.0,40.91110000000026
10979,3,112,21,5947.2682,-1.0,41.05000000000018
11089,3,113,18,5988.3583,-3.0,41.09009999999944
11172,3,114,12,6029.6114,-6.0,41.253099999999904
11260,3,115,4,6070.0784,-8.0,40.46700000000055
11371,3,116,4,6110.6649,0.0,40.58649999999943
11449,3,117,4,6151.0639,0.0,40.39900000000034
11526,3,118,4,6191.3342,0.0,40.270300000000134
11606,3,119,4,6231.7746,0.0,40.4403999999995
11685,3,120,4,6273.4191,0.0,41.644500000000335
11765,3,121,4,6315.0795,0.0,41.660399999999754
11845,3,122,4,6362.6998,0.0,47.6203000000005
11939,3,123,4,6457.3372,0.0,94.63739999999962
12027,3,124,4,6576.8715,0.0,119.53430000000026
12118,3,125,4,6692.6969,0.0,115.82539999999972
12214,3,126,4,6806.5294,0.0,113.83250000000044
12315,3,127,4,6928.5945,0.0,122.0650999999998
12402,3,128,4,7040.0406,0.0,111.44610000000011
12482,3,129,4,7117.8183,0.0,77.77769999999964
12544,3,130,4,7160.5803,0.0,42.761999999999716
12624,3,131,4,7209.1498,0.0,48.56950000000052
12711,3,132,4,7289.7225,0.0,80.57269999999971
12798,3,133,4,7381.1186,0.0,91.39609999999993
12884,3,134,4,7457.0168,0.0,75.89820000000054
12950,3,135,4,7498.9835,0.0,41.966699999999946
13022,3,136,4,7539.8333,0.0,40.84979999999996
13095,3,137,4,7585.4378,0.0,45.60449999999946
13194,3,138,4,7675.3624,0.0,89.92460000000028
13360,3,139,17,7793.3076,13.0,117.94520000000011
13446,3,140,11,7886.249,-6.0,92.9413999999997
13548,3,141,11,7992.045999999999,0.0,105.79699999999957
13619,3,142,11,8067.628000000001,0.0,75.58200000000124
13689,3,143,8,8132.5999,-3.0,64.97189999999955
13784,3,144,8,8216.0672,0.0,83.46729999999934
13876,3,145,9,8305.9785,1.0,89.91129999999976
13963,3,146,9,8412.9743,0.0,106.9958000000006
14047,3,147,9,8498.0521,0.0,85.07780000000093
14109,3,148,5,8539.7004,-4.0,41.648299999998926
14194,3,149,5,8580.6126,0.0,40.91220000000067
14279,3,150,5,8621.5425,0.0,40.92989999999918
14352,3,151,4,8661.604,-1.0,40.061499999999796
14427,3,152,4,8702.0101,0.0,40.40610000000015
14470,3,153,4,8742.6317,0.0,40.6216000000004
14573,3,154,4,8783.6942,0.0,41.0625
14649,3,155,4,8824.3019,0.0,40.60770000000048
14722,3,156,4,8865.1161,0.0,40.81419999999889
14797,3,157,4,8905.9459,0.0,40.82980000000134
14839,3,158,4,8946.6971,0.0,40.75119999999879
14912,3,159,4,8987.4633,0.0,40.766200000000026
15015,3,160,4,9028.6732,0.0,41.209899999999834
15091,3,161,4,9069.2448,0.0,40.571600000001126
15167,3,162,4,9110.1517,0.0,40.90689999999995
15241,3,163,4,9151.759,0.0,41.60729999999967
15320,3,164,4,9192.5403,0.0,40.781300000000556
15399,3,165,4,9233.1749,0.0,40.63459999999941
15467,3,166,3,9274.0243,-1.0,40.84939999999915
15538,3,167,2,9323.5042,-1.0,49.47990000000027
15724,3,168,12,9445.7076,10.0,122.20340000000033
15799,3,169,3,9542.2968,-9.0,96.58920000000035
15922,3,170,3,9645.119,0.0,102.82220000000052
16009,3,171,3,9721.1668,0.0,76.04780000000028
16044,3,172,3,9762.7015,0.0,41.53469999999834
16115,3,173,2,9803.3974,-1.0,40.69590000000062
16183,3,174,2,9844.1008,0.0,40.70340000000033
16283,3,175,3,9885.6105,1.0,41.50970000000052
16355,3,176,3,9926.2934,0.0,40.68289999999979
16428,3,177,3,9967.0878,0.0,40.79439999999886
16469,3,178,2,10007.8486,-1.0,40.76080000000002
16570,3,179,3,10049.1086,1.0,41.26000000000022
16652,3,180,3,10121.1181,0.0,72.00950000000012
16754,3,181,3,10234.4552,0.0,113.33710000000065
16846,3,182,3,10337.2657,0.0,102.81049999999959
16903,3,183,4,10421.5938,1.0,84.32810000000063
17010,3,184,4,10491.1658,0.0,69.57200000000012
