,target,eventid,car_number,stageid,firststage,pit_in_caution,start_position,start_rank,start_rank_ratio,top_pack,bottom_pack,average_rank,average_rank_all,change_in_rank,change_in_rank_all,rate_of_change,rate_of_change_all
135,13,1,25,7,1,0,23,2,0.06060606060606061,1,0,9.76923076923077,17.776041666666668,-18,-3.0,-33,-2.3333333333333335
136,6,1,26,0,0,0,25,25,0.7575757575757576,0,0,25.0,25.0,0,0.0,0,0.0
137,-5,1,26,1,1,0,25,31,0.9393939393939394,0,1,30.37037037037037,30.37037037037037,6,6.0,0,0.0
138,0,1,26,2,1,1,25,26,0.7878787878787878,0,0,28.772727272727273,29.653061224489797,-5,0.5,0,0.0
139,1,1,26,3,1,1,25,26,0.7878787878787878,0,0,26.0,29.58,0,0.3333333333333333,5,-3.0
140,-16,1,26,4,1,1,25,27,0.8181818181818182,0,0,27.6875,29.12121212121212,1,0.5,1,-1.6666666666666667
141,8,1,26,5,1,0,25,11,0.3333333333333333,0,0,24.29032258064516,27.577319587628867,-16,-2.8,-17,-5.5
142,5,1,26,6,1,0,25,19,0.5757575757575758,0,0,22.606060606060606,26.315384615384616,8,-1.0,24,0.4
143,1,1,26,7,1,1,25,24,0.7272727272727273,0,0,23.125,25.965753424657535,5,-0.14285714285714285,-3,-0.16666666666666666
144,-2,1,26,8,1,1,25,25,0.7575757575757576,0,0,24.333333333333332,25.901315789473685,1,0.0,-4,-0.7142857142857143
145,1,1,26,9,1,0,25,23,0.696969696969697,0,0,23.083333333333332,25.517045454545453,-2,-0.2222222222222222,-3,-1.0
146,-1,1,26,10,1,1,25,24,0.7272727272727273,0,0,23.2,25.392473118279568,1,-0.1,3,-0.5555555555555556
147,-10,1,27,0,0,0,32,32,0.9696969696969697,0,1,32.0,32.0,0,0.0,0,0.0
148,1,1,27,1,1,0,32,22,0.6666666666666666,0,0,26.1,26.1,-10,-10.0,0,0.0
149,-13,1,27,2,1,1,32,23,0.696969696969697,0,0,21.25,24.41304347826087,1,-4.5,0,0.0
150,-1,1,27,3,1,0,32,10,0.30303030303030304,0,0,16.266666666666666,20.384615384615383,-13,-7.333333333333333,-14,-1.5
151,-6,1,27,4,1,0,32,9,0.2727272727272727,0,0,14.2,18.666666666666668,-1,-5.75,12,3.0
152,1,1,27,5,1,0,32,3,0.09090909090909091,1,0,7.818181818181818,15.858823529411765,-6,-5.8,-5,1.0
153,-3,1,28,0,0,0,14,14,0.42424242424242425,0,0,14.0,14.0,0,0.0,0,0.0
154,0,1,28,1,1,0,14,11,0.3333333333333333,0,0,11.107142857142858,11.107142857142858,-3,-3.0,0,0.0
155,-6,1,28,2,1,1,14,11,0.3333333333333333,0,0,11.944444444444445,11.434782608695652,0,-1.5,0,0.0
156,-1,1,28,3,1,0,14,5,0.15151515151515152,1,0,8.090909090909092,9.8,-6,-3.0,-6,-1.5
157,1,1,28,4,1,0,14,4,0.12121212121212122,1,0,7.277777777777778,9.079365079365079,-1,-2.5,5,0.6666666666666666
158,0,1,28,5,1,0,14,5,0.15151515151515152,1,0,5.571428571428571,8.202380952380953,1,-1.8,2,1.0
159,-5,1,29,0,0,0,21,21,0.6363636363636364,0,0,21.0,21.0,0,0.0,0,0.0
160,2,1,29,1,1,0,21,16,0.48484848484848486,0,0,18.3,18.3,-5,-5.0,0,0.0
161,-1,1,29,2,1,1,21,18,0.5454545454545454,0,0,16.375,17.630434782608695,2,-1.5,0,0.0
162,-14,1,29,3,1,1,21,17,0.5151515151515151,0,0,17.4,17.560606060606062,-1,-1.3333333333333333,-3,2.0
163,-1,1,29,4,1,0,21,3,0.09090909090909091,1,0,17.555555555555557,17.558823529411764,-14,-4.5,-13,-3.0
164,3,1,29,5,1,1,21,2,0.06060606060606061,1,0,12.914285714285715,16.37226277372263,-1,-3.8,13,1.0
165,2,1,29,6,1,0,21,5,0.15151515151515152,1,0,10.942857142857143,15.267441860465116,3,-2.6666666666666665,4,1.6
166,1,1,30,0,0,0,16,16,0.48484848484848486,0,0,16.0,16.0,0,0.0,0,0.0
167,-1,1,30,1,1,0,16,17,0.5151515151515151,0,0,17.0,17.0,1,1.0,0,0.0
168,1,1,32,0,0,0,17,17,0.5151515151515151,0,0,17.0,17.0,0,0.0,0,0.0
169,-2,1,32,1,1,0,17,18,0.5454545454545454,0,0,18.566666666666666,18.566666666666666,1,1.0,0,0.0
170,15,1,32,2,1,0,17,16,0.48484848484848486,0,0,18.0,18.548387096774192,-2,-0.5,0,0.0
171,0,1,32,3,1,1,17,31,0.9393939393939394,0,1,28.88235294117647,22.208333333333332,15,4.666666666666667,17,7.0
172,-3,1,32,4,1,1,17,31,0.9393939393939394,0,1,31.0,23.464285714285715,0,3.5,-15,-0.3333333333333333
173,0,1,32,5,1,0,17,28,0.8484848484848485,0,1,29.236842105263158,25.79787234042553,-3,2.2,-3,-1.0
174,1,1,32,6,1,0,17,28,0.8484848484848485,0,1,27.916666666666668,26.037735849056602,0,1.8333333333333333,3,-0.2
175,3,1,33,0,0,0,19,19,0.5757575757575758,0,0,19.0,19.0,0,0.0,0,0.0
176,7,1,33,1,1,0,19,22,0.6666666666666666,0,0,19.85185185185185,19.85185185185185,3,3.0,0,0.0
177,4,1,33,2,1,1,19,29,0.8787878787878788,0,1,27.8,22.69047619047619,7,5.0,0,0.0
178,7,1,59,0,0,0,20,20,0.6060606060606061,0,0,20.0,20.0,0,0.0,0,0.0
179,2,1,59,1,1,0,20,27,0.8181818181818182,0,0,26.423076923076923,26.423076923076923,7,7.0,0,0.0
180,-1,1,59,2,1,1,20,29,0.8787878787878788,0,1,30.82608695652174,28.489795918367346,2,4.5,0,0.0
