,carno,startlap,startrank,endrank,diff,sign,pred_endrank,pred_diff,pred_sign
3568,88,127,26.0,24.0,-2.0,-1,24.0,-2.0,-1
3569,98,127,19.0,16.0,-3.0,-1,16.0,-3.0,-1
3570,1,128,7.0,1.0,-6.0,-1,2.0,-5.0,-1
3571,3,128,17.0,12.0,-5.0,-1,12.0,-5.0,-1
3572,4,128,24.0,20.0,-4.0,-1,21.0,-3.0,-1
3573,6,128,9.0,3.0,-6.0,-1,3.0,-6.0,-1
3574,7,128,27.0,27.0,0.0,0,27.0,0.0,0
3575,9,128,2.0,19.0,17.0,1,19.0,17.0,1
3576,12,128,1.0,6.0,5.0,1,0.0,-1.0,-1
3577,14,128,12.0,24.0,12.0,1,25.0,13.0,1
3578,15,128,8.0,2.0,-6.0,-1,4.0,-4.0,-1
3579,17,128,23.0,22.0,-1.0,-1,22.0,-1.0,-1
3580,18,128,3.0,0.0,-3.0,-1,1.0,-2.0,-1
3581,19,128,13.0,7.0,-6.0,-1,9.0,-4.0,-1
3582,20,128,15.0,9.0,-6.0,-1,11.0,-4.0,-1
3583,21,128,25.0,26.0,1.0,1,26.0,1.0,1
3584,22,128,16.0,10.0,-6.0,-1,8.0,-8.0,-1
3585,23,128,20.0,17.0,-3.0,-1,17.0,-3.0,-1
3586,24,128,21.0,18.0,-3.0,-1,18.0,-3.0,-1
3587,25,128,14.0,8.0,-6.0,-1,10.0,-4.0,-1
3588,26,128,19.0,14.0,-5.0,-1,16.0,-3.0,-1
3589,27,128,4.0,21.0,17.0,1,20.0,16.0,1
3590,28,128,0.0,11.0,11.0,1,7.0,7.0,1
3591,29,128,10.0,4.0,-6.0,-1,5.0,-5.0,-1
3592,59,128,22.0,25.0,3.0,1,24.0,2.0,1
3593,60,128,6.0,16.0,10.0,1,14.0,8.0,1
3594,64,128,5.0,15.0,10.0,1,13.0,8.0,1
3595,66,128,11.0,5.0,-6.0,-1,6.0,-5.0,-1
