,target,eventid,car_number,stageid,firststage,pit_in_caution,start_position,start_rank,start_rank_ratio,top_pack,bottom_pack,average_rank,average_rank_all,change_in_rank,change_in_rank_all,rate_of_change,rate_of_change_all,laptime_green_mean_prev,laptime_green_std_prev,laptime_green_mean_all,laptime_green_std_all,laptime_mean_prev,laptime_std_prev,laptime_mean_all,laptime_std_all,laps_prev,laps_after_last_pitstop,pittime_prev,prev_nb0_change_in_rank,prev_nb1_change_in_rank,prev_nb2_change_in_rank,follow_nb0_change_in_rank,follow_nb1_change_in_rank,follow_nb2_change_in_rank
681,1,4,59,4,1,0,21,12,0.5454545454545454,0,0,12.774193548387096,13.633802816901408,3,-2.25,9,1.0,44.38909032258064,4.941219260554471,45.33056,8.209324430044985,44.38909032258064,4.941219260554471,53.754388732394375,26.19242729497765,31,31,60.31809999999996,-2,3,-1,7,5,-1
682,0,4,59,5,1,0,21,13,0.5909090909090909,0,0,12.064516129032258,13.156862745098039,1,-1.6,-2,0.25,44.27405483870966,4.847104109361884,44.97065164835164,7.258736398517081,44.27405483870966,4.847104109361884,50.873110784313724,22.443129961456908,31,31,59.826499999999896,7,-1,5,2,0,0
683,0,4,59,6,1,0,21,13,0.5909090909090909,0,0,13.875,13.328358208955224,0,-1.3333333333333333,-1,0.0,44.581428125,5.153757858424387,44.86939024390244,6.776494391686251,44.581428125,5.153757858424387,49.37061940298508,19.923544488598804,32,32,60.902900000000045,-1,1,0,-1,0,0
684,0,4,59,7,1,0,21,13,0.5909090909090909,0,0,13.84375,13.427710843373495,0,-1.1428571428571428,0,0.0,44.36515,4.981450295282951,44.76528903225806,6.450205998966655,44.36515,4.981450295282951,48.405709638554214,18.14138807578661,32,32,60.42509999999993,-1,0,0,0,0,0
685,-2,4,88,0,0,0,22,22,1.0,0,1,22.0,22.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
686,-7,4,88,1,1,1,22,20,0.9090909090909091,0,1,20.4,20.4,-2,-2.0,0,0.0,,,,,80.37116,40.30473643573916,80.37116,40.30473643573916,5,5,48.9986,1,3,0,0,0,0
687,2,4,88,2,1,1,22,13,0.5909090909090909,0,0,17.333333333333332,19.25,-7,-4.5,0,0.0,74.46389999999997,0.0,74.46389999999997,0.0,78.54776666666665,11.879620275169694,79.6873875,32.69550611419854,3,3,84.58335,-7,-3,-1,-6,-6,-3
688,-9,4,88,3,1,1,22,15,0.6818181818181818,0,0,13.5,18.1,2,-2.3333333333333335,9,2.0,,,74.46389999999997,0.0,159.87960000000004,1.212000000000046,95.72583,43.409874869136644,2,2,159.87960000000004,2,-6,-6,0,0,0
689,7,4,88,4,1,0,22,6,0.2727272727272727,0,0,11.774193548387096,13.317073170731707,-9,-4.0,-11,-2.3333333333333335,45.052289655172416,8.504758080094188,46.03267666666667,9.889058688492824,49.176319354838704,17.737811786369182,60.529858536585365,33.12255653964439,31,31,108.97474999999997,1,0,-11,0,2,-2
690,-1,4,88,5,1,0,22,13,0.5909090909090909,0,0,11.9,12.71830985915493,7,-1.8,16,2.25,44.53781666666667,4.9379033026230585,45.285246666666666,7.851549973741207,44.53781666666667,4.9379033026230585,53.77265774647888,26.575234539182922,30,30,60.16080000000011,3,-2,3,5,-1,0
