,model,prediction_length,halfmode,trainid,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
46,deepAR,2,False,indy500-r0.2,0.631578947368421,0.5263157894736842,0.8052631578947368,0.7578947368421053,0.8107811082965882,11.304144419018565
47,naive,2,False,indy500-r0.2,0.6842105263157895,0.631578947368421,0.8421052631578947,0.7894736842105263,0.824563320647585,11.420041952707857
48,curtrack,2,False,indy500-r0.2,0.6578947368421053,0.631578947368421,0.8157894736842105,0.7789473684210526,0.8329611670616517,10.232618866005593
49,zerotrack,2,False,indy500-r0.2,0.6052631578947368,0.631578947368421,0.8473684210526315,0.8105263157894737,0.8348553817893567,9.137687515891178
50,oracle,2,False,indy500-r0.4,0.7894736842105263,0.7894736842105263,0.8578947368421053,0.8210526315789474,0.8803592731732452,5.905553012967201
51,deepAR,2,False,indy500-r0.4,0.6052631578947368,0.5789473684210527,0.7736842105263158,0.7052631578947368,0.8085830984498369,10.766660310195784
52,naive,2,False,indy500-r0.4,0.6842105263157895,0.631578947368421,0.8421052631578947,0.7894736842105263,0.824563320647585,11.420041952707857
53,curtrack,2,False,indy500-r0.4,0.6842105263157895,0.6842105263157895,0.8157894736842105,0.7578947368421053,0.8319653188229038,10.393648614289345
54,zerotrack,2,False,indy500-r0.4,0.6842105263157895,0.631578947368421,0.8210526315789474,0.7578947368421053,0.8601241347381473,7.088871090770404
55,oracle,2,False,indy500,0.8157894736842105,0.8421052631578947,0.8578947368421053,0.8421052631578947,0.8671653742975589,6.894861428934654
56,deepAR,2,False,indy500,0.6052631578947368,0.5789473684210527,0.8210526315789474,0.7578947368421053,0.8228045123465099,9.996890414441902
57,naive,2,False,indy500,0.6842105263157895,0.631578947368421,0.8421052631578947,0.7894736842105263,0.824563320647585,11.420041952707857
58,curtrack,2,False,indy500,0.631578947368421,0.631578947368421,0.7894736842105263,0.7263157894736842,0.8251105040171536,10.782002288329519
59,zerotrack,2,False,indy500,0.6842105263157895,0.631578947368421,0.8210526315789474,0.7684210526315789,0.8386192657494312,8.002548944825834
60,oracle,5,False,indy500-r0.2,0.7714285714285715,0.7142857142857143,0.7942857142857143,0.7714285714285715,0.8013206319682024,10.808041407867492
61,deepAR,5,False,indy500-r0.2,0.42857142857142855,0.42857142857142855,0.5771428571428572,0.4857142857142857,0.5851876411170529,27.355980676328503
62,naive,5,False,indy500-r0.2,0.5142857142857142,0.5714285714285714,0.6285714285714286,0.5714285714285714,0.6230433498300506,25.922313319530712
63,curtrack,5,False,indy500-r0.2,0.5428571428571428,0.42857142857142855,0.64,0.5714285714285714,0.657515000941088,21.751389924085576
64,zerotrack,5,False,indy500-r0.2,0.5142857142857142,0.5714285714285714,0.7142857142857143,0.6571428571428571,0.6935228426021265,17.80462663906142
65,oracle,5,False,indy500-r0.4,0.8,0.7142857142857143,0.76,0.7142857142857143,0.8064010569708779,10.46824844720497
66,deepAR,5,False,indy500-r0.4,0.34285714285714286,0.2857142857142857,0.5828571428571429,0.4857142857142857,0.6068013728811683,26.439701863354035
67,naive,5,False,indy500-r0.4,0.5142857142857142,0.5714285714285714,0.6285714285714286,0.5714285714285714,0.6230433498300506,25.922313319530712
68,curtrack,5,False,indy500-r0.4,0.37142857142857144,0.2857142857142857,0.6342857142857142,0.5428571428571428,0.6599001236331159,22.830962042788126
69,zerotrack,5,False,indy500-r0.4,0.42857142857142855,0.42857142857142855,0.6685714285714286,0.6,0.6877744710532435,18.231543133195306
70,oracle,5,False,indy500,0.7714285714285715,0.7142857142857143,0.7714285714285715,0.7428571428571429,0.7995951092953651,11.002655624568666
71,deepAR,5,False,indy500,0.4857142857142857,0.42857142857142855,0.6514285714285715,0.6,0.6449150120127103,23.83863492063492
72,naive,5,False,indy500,0.5142857142857142,0.5714285714285714,0.6285714285714286,0.5714285714285714,0.6230433498300506,25.922313319530712
73,curtrack,5,False,indy500,0.34285714285714286,0.2857142857142857,0.6171428571428571,0.5142857142857142,0.6527038555079476,23.031610766045553
74,zerotrack,5,False,indy500,0.42857142857142855,0.42857142857142855,0.5828571428571429,0.45714285714285713,0.630141056897067,24.725442374051067
75,oracle,10,False,indy500-r0.2,0.5666666666666667,0.3333333333333333,0.62,0.4666666666666667,0.4575702851188785,30.67825925925926
76,deepAR,10,False,indy500-r0.2,0.36666666666666664,0.6666666666666666,0.4266666666666667,0.3333333333333333,0.4173714028606612,34.97737037037037
77,naive,10,False,indy500-r0.2,0.3333333333333333,0.3333333333333333,0.37333333333333335,0.26666666666666666,0.3339193236714976,40.79225925925926
78,curtrack,10,False,indy500-r0.2,0.3333333333333333,0.3333333333333333,0.4,0.26666666666666666,0.3691273183669604,38.93907407407408
79,zerotrack,10,False,indy500-r0.2,0.3333333333333333,0.3333333333333333,0.49333333333333335,0.4,0.5229107890499195,27.75977777777778
80,oracle,10,False,indy500-r0.4,0.5666666666666667,0.3333333333333333,0.7533333333333333,0.7333333333333333,0.5830107890499195,21.479777777777773
81,deepAR,10,False,indy500-r0.4,0.3333333333333333,0.3333333333333333,0.3933333333333333,0.26666666666666666,0.3196841811120584,42.43914814814815
82,naive,10,False,indy500-r0.4,0.3333333333333333,0.3333333333333333,0.37333333333333335,0.26666666666666666,0.3339193236714976,40.79225925925926
83,curtrack,10,False,indy500-r0.4,0.23333333333333334,0.0,0.4533333333333333,0.3333333333333333,0.4387149000663067,33.895
84,zerotrack,10,False,indy500-r0.4,0.26666666666666666,0.0,0.5266666666666666,0.4666666666666667,0.47917870607180074,30.274555555555555
85,oracle,10,False,indy500,0.6,0.6666666666666666,0.6333333333333333,0.6,0.5090509709197689,27.08748148148148
86,deepAR,10,False,indy500,0.2,0.0,0.32666666666666666,0.2,0.3274766884531591,41.60999999999999
87,naive,10,False,indy500,0.3333333333333333,0.3333333333333333,0.37333333333333335,0.26666666666666666,0.3339193236714976,40.79225925925926
88,curtrack,10,False,indy500,0.3333333333333333,0.3333333333333333,0.43333333333333335,0.3333333333333333,0.43978973193141996,33.86918518518519
89,zerotrack,10,False,indy500,0.36666666666666664,0.3333333333333333,0.5933333333333334,0.6,0.5553183195983707,25.59925925925926
