MyIdx,car_number,completed_laps,rank,elapsed_time,rank_diff,time_diff
1744,27,20,26,851.2172,0.0,41.97530000000006
1833,27,21,26,893.3428,0.0,42.12559999999996
1924,27,22,26,935.2653,0.0,41.922500000000014
2014,27,23,26,977.1634,0.0,41.8981
2105,27,24,26,1019.133,0.0,41.969600000000014
2193,27,25,26,1061.3958,0.0,42.26279999999997
2284,27,26,26,1104.1304,0.0,42.7346
2372,27,27,25,1147.5712,-1.0,43.44080000000008
2463,27,28,23,1191.3321,-2.0,43.76089999999999
2557,27,29,23,1233.0303,0.0,41.698199999999815
2649,27,30,22,1274.7308,-1.0,41.70050000000015
2765,27,31,21,1316.4959,-1.0,41.76509999999985
2879,27,32,15,1358.9017,-6.0,42.4058
3023,27,33,8,1400.4618,-7.0,41.56010000000015
3290,27,34,20,1467.5076,12.0,67.04579999999987
3442,27,35,24,1523.6064,4.0,56.09879999999998
3545,27,36,23,1565.8021,-1.0,42.195700000000215
3636,27,37,23,1607.4691,0.0,41.666999999999916
3729,27,38,23,1648.8796,0.0,41.410499999999956
3819,27,39,23,1690.4504,0.0,41.57079999999996
3911,27,40,23,1732.0257,0.0,41.57529999999997
4003,27,41,23,1773.3011,0.0,41.27539999999999
4096,27,42,23,1814.6739,0.0,41.3728000000001
4189,27,43,23,1856.027,0.0,41.35310000000004
4280,27,44,23,1897.4613,0.0,41.434299999999894
4372,27,45,23,1939.0412,0.0,41.57989999999995
4462,27,46,23,1980.6314,0.0,41.590200000000095
4562,27,47,22,2030.2009,-1.0,49.56950000000006
4663,27,48,22,2094.2709,0.0,64.06999999999994
4749,27,49,22,2165.7246,0.0,71.45370000000003
4845,27,50,22,2288.4934,0.0,122.76879999999983
4939,27,51,22,2395.4319,0.0,106.9385000000002
5025,27,52,22,2501.294,0.0,105.86209999999983
5110,27,53,22,2612.7289,0.0,111.4349000000002
5205,27,54,22,2720.4293,0.0,107.70039999999972
5288,27,55,21,2782.4252,-1.0,61.99590000000035
5363,27,56,21,2824.8685,0.0,42.44329999999991
5446,27,57,21,2868.3138,0.0,43.44529999999986
5531,27,58,20,2923.2849,-1.0,54.971100000000206
5624,27,59,20,3014.5744,0.0,91.28949999999986
5716,27,60,20,3123.7081,0.0,109.13369999999986
5814,27,61,20,3228.4557,0.0,104.74760000000015
5903,27,62,20,3320.9402,0.0,92.48450000000003
5972,27,63,19,3387.824,-1.0,66.88380000000006
6047,27,64,18,3431.8289,-1.0,44.00489999999991
6124,27,65,18,3474.4633,0.0,42.634399999999914
6200,27,66,18,3516.2205,0.0,41.75720000000001
6280,27,67,18,3558.2165,0.0,41.996000000000095
6363,27,68,17,3611.9978,-1.0,53.7813000000001
6461,27,69,17,3699.7961,0.0,87.79829999999993
6550,27,70,15,3808.6709,-2.0,108.87480000000005
6666,27,71,13,3917.7621,-2.0,109.09119999999984
6768,27,72,13,4018.3431,0.0,100.58100000000013
6846,27,73,13,4094.1206,0.0,75.77750000000015
6919,27,74,13,4138.8104,0.0,44.689800000000105
6991,27,75,12,4180.8643,-1.0,42.053899999999885
7069,27,76,12,4222.4046,0.0,41.54029999999966
