,target,eventid,car_number,stageid,firststage,pit_in_caution,start_position,start_rank,start_rank_ratio,top_pack,bottom_pack,average_rank,average_rank_all,change_in_rank,change_in_rank_all,rate_of_change,rate_of_change_all,prev_nb0_change_in_rank,prev_nb1_change_in_rank,prev_nb2_change_in_rank,follow_nb0_change_in_rank,follow_nb1_change_in_rank,follow_nb2_change_in_rank
706,-1,5,4,0,0,0,18,18,0.8571428571428571,0,1,18.0,18.0,0,0.0,0,0.0,0,0,0,0,0,0
707,-1,5,4,1,1,0,18,17,0.8095238095238095,0,1,17.01851851851852,17.01851851851852,-1,-1.0,0,0.0,0,0,0,0,0,1
708,-2,5,4,2,1,0,18,16,0.7619047619047619,0,1,17.854545454545455,17.440366972477065,-1,-1.0,0,0.0,-13,-8,0,-2,0,0
709,2,5,4,3,1,1,18,14,0.6666666666666666,0,0,16.87719298245614,17.246987951807228,-2,-1.3333333333333333,-1,-0.5,-4,-4,-3,-2,0,-5
710,-2,5,4,4,1,1,18,16,0.7619047619047619,0,1,15.3,17.136363636363637,2,-0.5,4,1.0,0,-2,-5,-2,-1,1
711,2,5,4,5,1,0,18,14,0.6666666666666666,0,0,14.43939393939394,16.40082644628099,-2,-0.8,-4,-0.25,2,3,7,5,-1,2
712,1,5,5,0,0,0,8,8,0.38095238095238093,0,0,8.0,8.0,0,0.0,0,0.0,0,0,0,0,0,0
713,0,5,5,1,1,0,8,9,0.42857142857142855,0,0,8.854545454545455,8.854545454545455,1,1.0,0,0.0,-2,0,0,0,0,0
714,3,5,5,2,1,0,8,9,0.42857142857142855,0,0,10.131147540983607,9.525862068965518,0,0.5,0,0.0,1,-2,0,-3,0,-8
715,-1,5,5,3,1,1,8,12,0.5714285714285714,0,0,14.278688524590164,11.163841807909604,3,1.3333333333333333,3,1.0,7,7,7,-5,-2,0
716,4,5,5,4,1,0,8,11,0.5238095238095238,0,0,11.088888888888889,11.14864864864865,-1,0.75,-4,-0.6666666666666666,7,7,1,7,2,3
717,0,5,9,0,0,0,1,1,0.047619047619047616,1,0,1.0,1.0,0,0.0,0,0.0,0,0,0,0,0,0
718,0,5,9,1,1,0,1,1,0.047619047619047616,1,0,1.0,1.0,0,0.0,0,0.0,0,0,0,0,0,1
719,1,5,9,2,1,0,1,1,0.047619047619047616,1,0,1.3166666666666667,1.1637931034482758,0,0.0,0,0.0,0,0,0,0,1,0
720,-1,5,9,3,1,1,1,2,0.09523809523809523,1,0,1.736842105263158,1.3526011560693643,1,0.3333333333333333,1,0.5,-1,0,0,1,0,-2
